id,title,type,release_year,age_certification,runtime,genre,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Revenue(In Millions)
tm862830,Seriously Single,MOVIE,2020,Unrated,107,'comedy',['ZA'],4.4,1266.0,7.403,4.4,112
tm862830,Seriously Single,MOVIE,2020,Unrated,107,'romance',['ZA'],4.4,1266.0,7.403,4.4,112
tm971819,Four Sisters Before the Wedding,MOVIE,2020,Unrated,116,'comedy',[],6.2,186.0,22.637925395684302,6.2,143
tm971819,Four Sisters Before the Wedding,MOVIE,2020,Unrated,116,'drama',[],6.2,186.0,22.637925395684302,6.2,143
tm915354,Girl's Revenge,MOVIE,2020,Unrated,81,'drama',['TW'],5.7,204.0,12.91,5.7,154
tm881575,Velvet Colección: Grand Finale,MOVIE,2020,Unrated,82,'comedy',"['US', 'ES']",7.2,8.0,2.102,7.2,49
tm881575,Velvet Colección: Grand Finale,MOVIE,2020,Unrated,82,'romance',"['US', 'ES']",7.2,8.0,2.102,7.2,49
ts218000,Dollar,SHOW,2019,Unrated,41,'action',['LB'],6.6,602.0,2.16,6.6,55
ts218000,Dollar,SHOW,2019,Unrated,41,'drama',['LB'],6.6,602.0,2.16,6.6,55
ts218000,Dollar,SHOW,2019,Unrated,41,'romance',['LB'],6.6,602.0,2.16,6.6,55
tm848261,Aaviri,MOVIE,2019,Unrated,113,'drama',['IN'],3.5,104.0,0.994,3.5,50
tm848261,Aaviri,MOVIE,2019,Unrated,113,'thriller',['IN'],3.5,104.0,0.994,3.5,50
tm454431,A Home with a View,MOVIE,2019,Unrated,92,'comedy',['HK'],5.9,301.0,2.904,5.9,1
tm454431,A Home with a View,MOVIE,2019,Unrated,92,'drama',['HK'],5.9,301.0,2.904,5.9,1
tm890479,The Claudia Kishi Club,MOVIE,2020,Unrated,17,'documentation',['US'],6.510860655737705,23439.382473841557,1.135,6.510860655737705,152
tm982018,A Trash Truck Christmas,MOVIE,2020,G,28,'action',['US'],5.5,214.0,17.611,5.5,147
